text,intent,target,metadata
Thư viện nay mở cửa đến mấy giờ z,facility_query,library,
thông tin phòng công tác sinh viên,facility_query,room_pctsv,
tv toà nhà điều hành đóng cửa chưa,facility_query,library,
Căn tin toà A bán đồ ăn sáng tới mấy h v,facility_query,canteen,
phòng tập gym sv còn hđộng k,facility_query,stadium,
p. y tế toà E nay có bác sĩ không,facility_query,room_medical,
bãi xe sv toà C nay đông k m.n,facility_query,parking,
trường mình có chỗ nào ngủ trưa hong,facility_query,room_resting,
pdt trường mình làm việc thứ 7 ko ta,facility_query,room_pdt,
phòng ctsv có nghỉ trưa ko,facility_query,room_pctsv,
Toà F nay có cúp điện ko,facility_query,building,
mượn sách trên thư viện thì thủ tục s ạ,facility_query,library,
căn tin có bán đồ ăn vặt ko m.n,facility_query,canteen,
đky gym trường cần những gì dợ,facility_query,stadium,
đau bụng quá xuống y tế xin thuốc dc k,facility_query,room_medical,
nhà xe toà B mấy h khoá cửa zậy,facility_query,parking,
trưa e muốn ở lại trường thì có phòng nghỉ nào đk,facility_query,room_resting,
thư viện có cho mang ly nước vô k z,facility_query,library,
cantin toà C bao nhiêu tiền 1 dĩa cơm,facility_query,canteen,
sv năm 1 có dc đky phòng gym k,facility_query,stadium,
y tế có giường cho nằm nghỉ xíu k ạ,facility_query,room_medical,
gữi xe toà d bn tiền 1 chiếc,facility_query,parking,
phòng tự học ở toà G có máy lạnh hong,facility_query,building,
phòng đào tạo có làm việc buổi trưa ko,facility_query,room_pdt,
pctsv chiều nay có mở cửa k,facility_query,room_pctsv,
thư zịêt còn chỗ trống hong mấy b,facility_query,library,
nay nhà ăn lầu 2 mở cửa ch,facility_query,canteen,
vé tháng phòng gym trg là bnhieu v ạ,facility_query,stadium,
bị cảm tui mún xin thuốc ở trg thì mua ở đâu dc,facility_query,room_medical,
trg có phòng relax mát mát để chợp mắt ko,facility_query,room_resting,
rút hồ sơ sv thì qua p. đào tạo toà nào hỗ trợ,facility_query,room_pdt,
hnay thư viện a mở tới 21h đko,facility_query,library,
nhà ăn nào ngon nhất zậy,facility_query,canteen,
ptap gym trường có hlv hông,facility_query,stadium,
p.y tế có thuốc giảm đau k ta,facility_query,room_medical,
phòng đt làm vc tới mấy h v mng,facility_query,room_pdt,
xin sđt của phòng ctsv,facility_query,room_pctsv,
toà D có thang máy ko z,facility_query,building,
trả sách trễ trên thư viện có bị phạt tiền hong,facility_query,library,
ơ căn tin toà e có bún bò k,facility_query,canteen,
giờ vàng gym trường h nào đông nhất,facility_query,stadium,
bị trầy tay xuống y tế sát trùng dc ko,facility_query,room_medical,
gửi xe máy qua đêm trong trg dc ko,facility_query,parking,
sảnh toà C có ghế sofa để ngủ trưa k,facility_query,building,
giờ làm vc pdt toà a,facility_query,room_pdt,
wifi thư viện bị rớt r pk m.n,facility_query,library,
câng tin E lầu 3 hết cơm chưa,facility_query,canteen,
h này phòng gym full chưa z,facility_query,stadium,
giờ mở cửa của p y tế,facility_query,room_medical,
đậu xe hơi trong khuôn viên trg có tốn phí k,facility_query,parking,
mệt quá có phòng nào cho sv vô nằm xíu k,facility_query,room_resting,
phòng ct sv có dịch vụ in ấn hk,facility_query,room_pctsv,
thư viện trg mình mượn sách về nhà dc mấy ngày,facility_query,library,
menu với giá đồ ăn canteen toà f,facility_query,canteen,
bãi xe sau lưng toà A 5h chiều còn nhận xe k,facility_query,parking,
đh mình có chỗ nghỉ trưa cho sv hk,facility_query,room_resting,
giờ tiếp sv của phòng công tác sv,facility_query,room_pctsv,
đky phòng họp nhóm trong thư viện kiểu j,facility_query,library,
canteen trg có mở buổi tối ko v,facility_query,canteen,
phòng tập gym có chỗ tắm k,facility_query,stadium,
có ai biết sđt cô y tế ko,facility_query,room_medical,
gởi gxe toà G nhiu tiền ad,facility_query,parking,
ngủ gục trên bàn ở thư viện bị la k,facility_query,library,
email hỗ trợ của ctsv là j,facility_query,room_pctsv,
trưa nay tv toà C có mở k,facility_query,library,
mua đồ căn tin quẹt thẻ dc hk,facility_query,canteen,
cần cấp cứu trog trg thì gọi số nào,facility_query,room_medical,
bãi giữ xe thông minh còn nhận xe ko,facility_query,parking,
wc toà B dơ k m.n,facility_query,room_toilet,
thư viện trg có máy in hk,facility_query,library,
nữ tập gym chung trg có ng ngại k ạ,facility_query,stadium,
p ytế có đo huyết áp k,facility_query,room_medical,
nhà xe có chỗ sạc xe đạp điện hk,facility_query,parking,
phòng nghỉ trưa có máy lạnh k ad,facility_query,room_resting,
thư viện toà a full chỗ r đúng k,facility_query,library,
phòng tự học toà d còn chỗ cắm điện ko,facility_query,building,
chiều nay nhà điều hành có cúp nước khong,facility_query,building,
căn tin bán cơm thêm bao nhiêu tiền,facility_query,canteen,
toà H có bao nhiêu tầng vậy,facility_query,building,
sân vận động nay có tổ chức giải k,facility_query,stadium,
mấy giờ sân bóng đóng cửa,facility_query,stadium,
tối nay toà b có sáng đèn ko,facility_query,building,
phòng máy tính ở thư viện xài free à,facility_query,library,
sinh viên năm cuối có đc miễn phí gym ko,facility_query,stadium,
phòng ctsv toà nhà điều hành ở lầu mấy,facility_query,room_pctsv,
chỗ nhà xe toà e có bảo vệ trực đêm k,facility_query,parking,
căn tin hnay có đổi menu k mng,facility_query,canteen,
cho hỏi toà G xây xong chưa v,facility_query,building,
phòng nghỉ trưa đóng cửa lúc mấy h,facility_query,room_resting,
y tế trường mình có bảo hiểm yt k,facility_query,room_medical,
hỏi về học phí thì phòng đào tạo giải quyết pk,facility_query,room_pdt,
bãi giữ xe sân banh có mái che hong,facility_query,parking,
thu vien co cho ngu trua khong,facility_query,library,
toa A hnay co mo cua khong,facility_query,building,
san van dong co cho thue da banh k,facility_query,stadium,
may h thi can tin het do an,facility_query,canteen,
truong co phong tu hoc 24/7 khong,facility_query,library,
p ctsv co lam viec sang thu 7 k,facility_query,room_pctsv,
nha dieu hanh co cho sv vao khong,facility_query,building,
phong y te co ban thuoc cam k,facility_query,room_medical,
thư viện còn sách triết học ko b,facility_query,library,
mai có môn nào phải học ko,academic_query,study_schedule,
lịch thi kì này khi nào có v,academic_query,exam_schedule,
cho e hỏi đkhp kì 2 bắt đầu từ ngày mấy,academic_query,course_registration,
môn xác suất thống kê bao nhiêu tín chỉ,academic_query,course_info,
thứ 3 tuần sau có học tiết thực hành ko,academic_query,study_schedule,
khi nào trường công bố thời khóa biểu chính thức,academic_query,study_schedule,
dkhp bị lỗi mạng r sao h,academic_query,course_registration,
môn cơ sở dữ liệu ai dạy vậy,academic_query,course_info,
thi cuối kỳ môn triết là trắc nghiệm hay tự luận,academic_query,exam_schedule,
tuần này có dc nghỉ học bù hong,academic_query,study_schedule,
lịch thi môn giải tích dời qua ngày nào r,academic_query,exam_schedule,
học phần này có bắt buộc ko,academic_query,course_info,
tối nay có tiết lý thuyết trên teams ko,academic_query,study_schedule,
khi nào hết hạn đăng ký môn học,academic_query,course_registration,
môn mạng máy tính học mấy chỉ,academic_query,course_info,
cho hỏi lịch học môn toán a1,academic_query,study_schedule,
rớt môn thì học lại vào kì nào,academic_query,course_registration,
lịch thi giữa kì có chưa ad,academic_query,exam_schedule,
cách huỷ học phần đã đăng ký,academic_query,course_registration,
tiết 1 bắt đầu lúc mấy giờ v,academic_query,study_time,
môn tiếng anh 2 học ở kì mấy là đúng tiến độ,academic_query,course_info,
đăng kí tín chỉ vượt quá số lượng cho phép thì sao,academic_query,course_registration,
tiết thực hành hoá học thứ mấy có,academic_query,study_schedule,
thời khóa biểu tuần sau có thay đổi gì k,academic_query,study_schedule,
môn này ko học có bị đuổi học k,academic_query,course_info,
lịch học bù môn thầy tùng vào ngày nào,academic_query,study_schedule,
mã học phần môn vật lý là gì,academic_query,course_info,
đky môn học chậm quá có sao khum,academic_query,course_registration,
cho mình xem lịch thi dự kiến đk ko,academic_query,exam_schedule,
thầy nào dạy cấu trúc dữ liệu tốt nhất,academic_query,course_info,
hạn chót nộp tiền học phí kì này là bh,academic_query,course_registration,
lịch thi tiếng anh đầu ra,academic_query,exam_schedule,
kéo dài thời gian dkhp đến bao giờ v,academic_query,course_registration,
số tiết vắng tối đa môn này là bnhieu,academic_query,course_info,
